budget_year,ministry,department_or_org,strength_actual_1mar,strength_actual_year,strength_est_re_1mar,strength_est_re_year,strength_est_be_1mar,strength_est_be_year,pay_actuals_cr,allowances_actuals_cr,travel_actuals_cr,pay_re_cr,allowances_re_cr,travel_re_cr,pay_be_cr,allowances_be_cr,travel_be_cr
2015-16,Ministry of Agriculture,Department of Agriculture and Cooperation,3746,2014,5252,2015,5343,2016,113.97,101.06,10.77,115.33,120.04,12.97,117.31,137.71,17.51
2015-16,Ministry of Agriculture,Department of Agricultural Research and Education,48,2014,43,2015,50,2016,1.52,1.60,0.12,1.70,1.80,0.15,2.00,2.10,0.20
2015-16,Ministry of Agriculture,"Department of Animal Husbandry, Dairying & Fisheries",2776,2014,3953,2015,3927,2016,65.00,63.54,4.03,68.20,73.63,4.74,74.40,84.45,5.22
2015-16,Department of Atomic Energy,Atomic Energy,31111,2014,33945,2015,36536,2016,889.12,1418.77,40.54,930.71,1611.29,48.09,1068.70,1552.29,52.44
2015-16,Department of Atomic Energy,Nuclear Power Schemes,35,2014,35,2015,35,2016,0.82,0.91,0.02,0.88,1.14,0.03,0.94,1.31,0.03
2015-16,"Ministry of Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)","Ministry of Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",196,2014,354,2015,354,2016,5.07,6.19,0.62,6.15,8.15,1.29,5.64,8.12,2.44
2015-16,Ministry of Chemicals and Fertilisers,Department of Chemicals and Petrochemicals,256,2014,318,2015,318,2016,5.30,7.02,1.52,5.48,8.10,1.06,5.81,8.44,1.06
2015-16,Ministry of Chemicals and Fertilisers,Department of Fertilisers,262,2014,280,2015,280,2016,13.34,3.09,0.98,13.14,4.06,1.50,15.19,4.16,1.30
2015-16,Ministry of Chemicals and Fertilisers,Department of Pharmaceuticals,39,2014,41,2015,46,2016,124.73,183.27,6.17,131.94,204.43,10.00,163.00,258.58,15.00
2015-16,Ministry of Civil Aviation,Ministry of Civil Aviation,1856,2014,1936,2015,1936,2016,52.27,14.39,4.46,62.69,16.66,6.70,80.21,20.64,8.26
2015-16,Ministry of Coal,Ministry of Coal,372,2014,410,2015,429,2016,8.81,9.17,1.81,9.85,10.55,1.67,10.74,11.16,1.84
2015-16,Ministry of Commerce and Industry,Department of Commerce,7003,2014,7237,2015,7237,2016,167.69,174.56,22.28,195.71,207.69,26.28,199.74,207.89,26.05
2015-16,Ministry of Commerce and Industry,Department of Industrial Policy and Promotion,2220,2014,2839,2015,2919,2016,50.44,66.41,4.95,56.85,74.87,5.48,61.38,79.81,5.64
2015-16,Ministry of Communications and Information Technology,Department of Posts,459948,2014,469248,2015,470679,2016,4079.77,6588.33,72.33,4141.88,7378.11,80.01,4336.05,7995.89,80.06
