state,fy,lib_receipts_cr,lib_rev_exp_cr,lib_cap_exp_cr,lib_loans_cr,gp_assist_cr,zp_assist_cr,cap_to_rev_pct,rev_self_validated,cap_self_validated,gp_assist_self_validated,zp_assist_self_validated,source_statement,source_url,cap_source_line,rev_source_line,gp_assist_source_line,zp_assist_source_line
Andhra Pradesh,2021-22,,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2021-2022-0641db35e61f174-96576786.pdf,,,,
Andhra Pradesh,2022-23,0.0099,45.2773,,,,,,True,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2022-23-065c4ce10397e71-57945957.pdf,105    Public Libraries                                            ...                 ...,"105 Public Libraries                                          4,527.73                    ",,
Andhra Pradesh,2023-24,0.0418,46.1498,1.4478,,,,3.14,False,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-2023-24-06734a3f1280cd2-71345636.pdf,105   Public Libraries                                                            ...     ,105 Public Libraries                                                                      ,,
Andhra Pradesh,2024-25,0.0412,46.921,0.0,,,,0.0,False,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-2024-25-069aadbc2ef08b4-64872690.pdf,105    Public Libraries                                                         144.78    ,105 Public Libraries                                                                      ,,
Arunachal Pradesh,2021-22,,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-VOLUME-II-2021-22-Arunachal-Pradesh-16-12-2022-FINAL-FOR-net-uploding-12-01-2023-064899103b655b1-83677951.pdf,,,,
Arunachal Pradesh,2022-23,,11.6785,0.35,,,,3.0,False,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-2022-23-Arunachal-Pradesh-065d483acc3f513-10652207.pdf,105 Public Libraries                                …         …           35.00           ,"105 Public Libraries                                 …        1,167.85                   …",,
Arunachal Pradesh,2023-24,,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-VOLUME-II-2023-24-Arunachal-Pradesh-12-02-2025-FINAL-FOR-PRINT-0680b26b8c6e3c3-80700521.pdf,,,,
Arunachal Pradesh,2024-25,,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-ARUNAC-1-069b7e15c0beb78-85004904.pdf,,,,
Assam,2022-23,0.0097,20.0924,4.9829,,,,24.8,False,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Vol-II-2022-23-Assam-065df6923637760-36635454.pdf,Total- 105 Public Libraries :                                                            4,105 Public Libraries                                                                      ,,
Assam,2023-24,0.0152,20.4137,525.3615,,,,2573.57,False,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2023-24-Assam-17-03-2025-0684fb305591297-95645650.pdf,Total 105                                                                                 ,105    Public Libraries                                                                   ,,
Assam,2024-25,0.0154,20.8574,8.9443,,,,42.88,False,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-24-25-Assam-24-12-2025-0699bdd31972846-72848880.pdf,Total 105 Public Libraries :                                         894.43               ,"105 Public Libraries                                                       2,085.74       ",,
Bihar,2021-22,,7.1203,0.0,,,,0.0,True,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Vol-II-2021-22-Bihar-English-14-12-2022-06437f6d9889694-56493467.pdf,Other Schemes each costing `5 crore or less                    0.00         130.00        ,105 Public Libraries                                                               712.03 ,,
Bihar,2022-23,,4.7581,2.7021,,,,56.79,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Vol-II-2022-23-English-09-12-2023-065e01c4a8212a3-53815950.pdf,Other Schemes each costing `5 crore or less                     0.00         270.21       ,105 Public Libraries                                                           475.81     ,,
Bihar,2023-24,,4.5473,4.9905,,,,109.75,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-2023-24-Vol-II-Bihar-English-067e4ed97ed7ec8-78418916.pdf,Other Schemes each costing `5 crore or less                     0.00         499.05       ,105 Public Libraries                                                           454.73     ,,
Bihar,2024-25,,5.9361,9.8924,,,,166.65,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Account-Volume-II-BIHAR-ENGLISH-2024-25-31-01-2026-069a013611b9233-45674079.pdf,Library Buildings                                              0.00        989.24         ,105 Public Libraries                                                           593.61     ,,
Chhattisgarh,2021-22,,3.2941,,,,,,True,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-ENGLISH-VOLUME-2-063ce1faadd96e2-65152203.pdf,,105    Public Libraries                                    329.41             0.00        ,,
Chhattisgarh,2022-23,,3.7713,,,,,,True,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-8-Finance-Account-Volume-II-065cb58c85fe978-29899990.pdf,,105    Public Libraries                                    377.13                0.00     ,,
Chhattisgarh,2023-24,,4.2043,,,,,,True,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Account-Vol-2-English-067651e09896f21-18190555.pdf,,105    Public Libraries                                    420.43                    0.00 ,,
Chhattisgarh,2024-25,,4.9985,0.0,,,,0.0,True,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FINANCE-ACCOUNTS-VOL-02-English-069bb9598898702-21523706.pdf,Other works costing below ` 10 Crore                       0.00         0.00              ,105 Public Libraries                                                            499.85    ,,
Gujarat,2021-22,0.085,30.8452,0.0479,,,,0.16,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FA-VOL-II-2021-22-0642a7eaa542548-19209741.pdf,"Total - 105      170.30           4.79    ...   ...        4.79     2,339.80    (-)97.19","105 Public Libraries                                      3,084.52           ...          ",,
Gujarat,2022-23,0.1147,28.9478,0.855,,,,2.95,True,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2022-23-Volume-2-065e1cd0bc8f857-53221550.pdf,"Total - 105       4.79        85.50      ...   ...      85.50      2,425.30    (+)1684.97","105 Public Libraries                                     2,894.78           ...           ",,
Gujarat,2023-24,0.2011,39.5087,0.287,,,,0.73,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2023-24-067ebc71e89c1f1-35908776.pdf,"Total - 105        85.50           28.70           ..        28.70        2,454.00     (-)","105 Public Libraries                                     3,950.87                   ..    ",,
Gujarat,2024-25,0.201,45.5451,0.287,,,,0.63,True,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FA-VOL-II-2024-25-069c52af8d4f245-78414170.pdf,"Total - 105     28.70         ..        ..           ..      2,454.00      ..","105 Public Libraries                                   4,554.51    ..            ..       ",,
Haryana,2021-22,0.0313,8.186,17.6057,,,,215.07,True,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-2021-22-063b2c6513b6a96-31291871.pdf,105 Public Libraries                                                                      ,105 Public Libraries                                              818.60           ..     ,,
Haryana,2022-23,0.1172,7.7916,0.0,,,,0.0,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-2022-23-0658029704ce7c9-88051893.pdf,105 Public Libraries                                                                     1,105 Public Libraries                                                779.16                ,,
Haryana,2023-24,0.1028,6.0919,,,,,,True,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-2023-24-067ced4cd4434a4-10058366.pdf,105 Public Libraries                                                                      ,105 Public Libraries                                              609.19                  ,,
