state,fy,lib_rev_exp_cr,lib_cap_exp_cr,cap_to_rev_pct,rev_source,cap_source
Andhra Pradesh,2023-24,46.15,1.45,3.1,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Arunachal Pradesh,2023-24,17.75,7.49,42.2,"hand-read scan (note, %-self-validated)","CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Assam,2023-24,20.41,5.96,29.2,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Bihar,2023-24,4.55,4.99,109.7,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Chhattisgarh,2023-24,4.2,0.0,0.0,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Gujarat,2023-24,39.51,0.29,0.7,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Haryana,2023-24,6.09,0.0,0.0,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Himachal Pradesh,2023-24,15.98,0.0,0.0,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Jharkhand,2023-24,0.59,0.0,0.0,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Karnataka,2023-24,80.39,0.0,0.0,"hand-read scan (note, %-self-validated)","CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Kerala,2023-24,24.78,0.14,0.6,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Madhya Pradesh,2023-24,12.93,0.0,0.0,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Maharashtra,2023-24,154.5,47.39,30.7,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Manipur,2023-24,1.75,0.0,0.0,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Meghalaya,2023-24,4.35,1.76,40.4,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Mizoram,2023-24,1.88,0.0,0.0,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Nagaland,2023-24,0.77,0.0,0.0,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Odisha,2023-24,5.04,0.0,0.0,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Punjab,2023-24,3.98,0.0,0.0,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Sikkim,2023-24,2.12,0.0,0.0,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Tamil Nadu,2023-24,263.21,155.27,59.0,"hand-read scan (note, %-self-validated)","CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Telangana,2023-24,84.85,0.0,0.0,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Tripura,2023-24,0.15,0.0,0.0,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Uttar Pradesh,2023-24,8.52,1.57,18.4,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
Uttarakhand,2023-24,2.02,0.0,0.0,CAG Vol-II auto (self-validated),"CAG Vol-II Stmt 16, hand-verified (note 2026-07)"
