state,fy,elem_rev_cr,sec_rev_cr,gen_rev_cr,elem_cap_cr,sec_cap_cr,elem_rev_self_validated,sec_rev_self_validated,gen_rev_self_validated,elem_cap_self_validated,sec_cap_self_validated,source_statement,source_url,elem_rev_source_line,sec_rev_source_line,gen_rev_source_line,elem_cap_source_line,sec_cap_source_line
Andhra Pradesh,2021-22,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2021-2022-0641db35e61f174-96576786.pdf,,,,,
Andhra Pradesh,2022-23,10295.2872,11804.4998,299.7598,0.0571,2805.5912,True,True,True,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2022-23-065c4ce10397e71-57945957.pdf,"Total- 01                   10,06,864.36              22,664.36     10,29,528.72       9,3","Total- 02                10,99,568.68              80,881.30       11,80,449.98      10,30","Total- 80                     29,275.98               700.00         29,975.98       8,751",Total- 201              5.71                  ...             ...             ...         ,"Total- 202       2,80,559.12                   ...   (-)19,921.90     19,801.42          ("
Andhra Pradesh,2023-24,10068.3372,12495.7124,370.2364,,,True,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-2023-24-06734a3f1280cd2-71345636.pdf,"Total-01 9,74,648.64                32,185.08           10,06,833.72            10,29,528.","Total-02 11,46,869.96               1,02,701.28          12,49,571.24            11,80,449","Total-80 36,562.38                      461.26              37,023.64                29,97",,
Andhra Pradesh,2024-25,10605.27,13780.7759,310.0559,,,True,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-2024-25-069aadbc2ef08b4-64872690.pdf,"Total-01 10,32,262.38                   28,264.62          10,60,527.00           10,06,83","Total-02 12,66,536.79                 1,11,540.80         13,78,077.59         12,49,571.2","Total-80 31,005.59                           ...         31,005.59             37,023.64  ",,
Arunachal Pradesh,2021-22,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-VOLUME-II-2021-22-Arunachal-Pradesh-16-12-2022-FINAL-FOR-net-uploding-12-01-2023-064899103b655b1-83677951.pdf,,,,,
Arunachal Pradesh,2022-23,1659.7898,523.4745,,122.1042,36.165,True,True,False,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-2022-23-Arunachal-Pradesh-065d483acc3f513-10652207.pdf,"Total 01                                           …       89,253.84            76,725.14 ","Total 02                                           …       51,952.01              395.44  ","Total 80                                                 …          1,510.03              ","201 Elementary Education                        …        …         12,210.42        …     ","202 Secondary Education                     990.34       …          3,616.50        …     "
Arunachal Pradesh,2023-24,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-VOLUME-II-2023-24-Arunachal-Pradesh-12-02-2025-FINAL-FOR-PRINT-0680b26b8c6e3c3-80700521.pdf,,,,,
Arunachal Pradesh,2024-25,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-ARUNAC-1-069b7e15c0beb78-85004904.pdf,,,,,
Assam,2022-23,,,,218.9882,14.9482,False,False,False,False,False,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Vol-II-2022-23-Assam-065df6923637760-36635454.pdf,"Total- 01                                                     9,77,568.60      9,77,568.60","Total- 02                                                    5,68,639.64      5,68,639.64 ",Total- 80                                                                                 ,Total- 201 Elementary Education :                                                        2,"Total- 202 Secondary Education :                                               1,494.82   "
Assam,2023-24,10456.0416,6159.4613,,517.1089,190.0627,True,True,False,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2023-24-Assam-17-03-2025-0684fb305591297-95645650.pdf,Total-01                                                                                  ,Total-02                                                                                  ,Total-80                                                                                  ,Total 201                                                                                 ,Total 202                                                                                 
